A,Element	,A,N,Energy,Unc,JPi,T1/2 (txt),E Gamma   	,Unc,I Gamma  Unc,M Gamma   	,M Ratio,Unc    Conv C              Unc,B(M1),Unc,  B(E2),Unc
16,O      	,8,8,9844.5,5,2+,0.62 KEV 10,2927.1    	,8,347,[M1]      	,        	,       	                   	,0.0042    	,, 8	,	
27,SI     	,14,13,957.4,2,3/2+,1.20 PS 8,957.3     	,,10022,(M1+E2)   	,+0.50   	,      4	                   	,0.0157    	,, 8	23,	3
27,SI     	,14,13,957.4,2,3/2+,1.20 PS 8,176.4     	,,6.4229,(M1)      	,        	,       	                   	,0.17      	,, 6	,	
27,SI     	,14,13,2163.6,2,7/2+,44 FS 5,2163.5    	,,100,(M1+E2)   	,-0.43   	,      4	                   	,0.041     	,,12	8.5,	16
27,SI     	,14,13,2647.6,3,5/2+,17 FS 2,2647.4    	,,264,(M1+E2)   	,-0.40   	,      6	                   	,0.0120    	,,24	1.5,	5
27,SI     	,14,13,2647.6,3,5/2+,17 FS 2,1690.1    	,,1004,(M1+E2)   	,-0.083  	,     14	                   	,0.21      	,, 3	2.6,	10
27,SI     	,14,13,2909.9,2,9/2+,52 FS 6,746.2     	,,6.422,(M1)      	,        	,       	                   	,0.061     	,,23	,	
27,SI     	,14,13,4289.2,9,5/2+,3.5 FS 14,4288.8    	,,1008,M1        	,        	,       	                   	,0.041     	,,18	,	
27,SI     	,14,13,4289.2,9,5/2+,3.5 FS 14,3331.5    	,,7910,M1+E2     	,+0.21   	,      3	                   	,0.07      	,, 3	1.4,	8
27,SI     	,14,13,5062,2,5/2+,21 FS 6,4104      	,,10011,M1+E2     	,+0.07   	,      4	                   	,0.012     	,, 4	,	
28,SI     	,14,14,6276.2,7,3+,0.78 PS 6,4496.92   	,25,1004,(M1+E2)   	,-0.14   	,      2	                   	,0.000269  	,,21	0.0013,	4
28,SI     	,14,14,8588.71,10,3+,11 FS 2,789.7     	,,0.591,[M1]      	,        	,       	                   	,0.021     	,, 6	,	
28,SI     	,14,14,8945.2,13,5+,58 FS 6,4326.6    	,,1004,(M1+E2)   	,+7      	,+7-2   	                   	,6.E-5     	,+12-6,  	0.76,	10
28,SI     	,14,14,8945.2,13,5+,58 FS 6,2057.4    	,,644,(M1+E2)   	,25      	,GT     	                   	,3.1E-5    	,<,  	18,	>
28,SI     	,14,14,9315.92,10,3+,1.5 FS 6,3039.4    	,,373,(M1+E2)   	,-0.2    	,      2	                   	,0.13      	,, 6	3,	+6-3
28,SI     	,14,14,9381.55,12,2+,1.1 FS 3,3105.0    	,,4.4823,(M1)      	,        	,       	                   	,0.027     	,, 8	,	
28,SI     	,14,14,9381.55,12,2+,1.1 FS 3,1448.0    	,,3.1423,(M1)      	,        	,       	                   	,0.18      	,, 6	,	
28,SI     	,14,14,9381.55,12,2+,1.1 FS 3,1122.7    	,,0.618,(M1)      	,        	,       	                   	,0.08      	,, 3	,	
29,SI     	,14,15,1273.387,9,3/2+,291 FS 10,1273.361  	,9,100,M1+E2     	,+0.197  	,      9	                   	,0.0353    	,,13	4.1,	4
29,SI     	,14,15,2425.97,3,3/2+,18.1 FS 7,2425.73   	,20,1008,M1+E2     	,-0.32   	,      7	                   	,0.065     	,, 4	5.5,	22
29,SI     	,14,15,3067.13,5,5/2+,33 FS 1,1793.83   	,8,1004,M1+E2     	,+0.26   	,      2	                   	,0.086     	,, 6	8.8,	14
29,SI     	,14,15,3067.13,5,5/2+,33 FS 1,1038.89   	,10,213,M1+E2     	,+0.04   	,      2	                   	,0.099     	,,16	0.7,	+8-7
29,SI     	,14,15,4079.9,3,7/2+,44 FS 12,2051.9    	,5,796,M1+E2     	,+0.08   	,      2	                   	,0.024     	,, 7	0.18,	11
29,SI     	,14,15,4840.38,7,1/2+,3.5 FS LT,4839.6    	,4,10013,(M1)      	,        	,       	                   	,0.048     	,>,  	,	
29,SI     	,14,15,4895.2,4,5/2+,12 FS 5,3621.6    	,4,1007,(M1)      	,        	,       	                   	,0.021     	,, 9	,	
29,SI     	,14,15,5284.7,5,7/2+,6 FS 3,3256.3    	,5,1005,M1+E2     	,-0.19   	,      2	                   	,0.07      	,, 4	1.1,	6
29,SI     	,14,15,5652.2,7,9/2+,51 FS 3,1572.2    	,6,1006,M1+E2     	,+0.32   	,      4	                   	,0.049     	,, 5	9.9,	25
29,SI     	,14,15,5811.7,7,7/2+,32 FS 12,2745.3    	,11,1006,M1+E2     	,+0.06   	,      3	                   	,0.017     	,, 7	0.04,	+5-4
29,SI     	,14,15,7139,1,(11/2+),29 FS 10,1486.9    	,,364,(M1+E2)   	,-0.29   	,      5	                   	,0.042     	,,16	8,	4
30,SI     	,14,16,3498.49,3,2+,58 FS 17,1263.13   	,3,1003,M1+E2     	,+0.18   	,      5	2.90E-5            	5,0.09      	,, 3	9,	6
30,SI     	,14,16,3769.48,4,1+,36 FS 9,3769.22   	,5,853,M1        	,        	,       	0.000949           	14,0.0052    	,,14	,	
30,SI     	,14,16,3769.48,4,1+,36 FS 9,1534.12   	,4,1003,M1+E2     	,-0.09   	,      3	8.40E-5            	12,0.091     	,,23	1.5,	11
30,SI     	,14,16,4810.31,11,2+,104 FS 15,1311.80   	,14,897,M1+E2     	,-0.17   	,      6	3.58E-5            	6,0.036     	,, 7	2.8,	20
30,SI     	,14,16,4810.31,11,2+,104 FS 15,2574.8    	,5,287,M1+E2     	,-0.52   	,     11	0.000513           	11,0.0012    	,, 4	0.23,	11
30,SI     	,14,16,4830.85,4,3+,83 FS 24,2595.39   	,4,1003,M1+E2     	,+0.73   	,      9	0.000537           	10,0.0014    	,, 5	0.51,	17
30,SI     	,14,16,5231.38,7,3+,43 FS 21,1732.7    	,1,1005,M1+E2     	,+0.12   	,      6	0.0001497          	23,0.08      	,, 4	1.8,	+20-18
30,SI     	,14,16,5372.2,6,0+,59 FS 21,1602.8    	,9,6620,M1        	,        	,       	0.0001049          	15,0.036     	,,19	,	
30,SI     	,14,16,5614.04,13,2+,21 FS LT,783       	,,62,M1+E2     	,+0.20   	,     11	3.65E-5            	14,0.066     	,>,  	,	
30,SI     	,14,16,5614.04,13,2+,21 FS LT,1844.40   	,16,1008,M1+E2     	,+0.11   	,      5	0.000191           	3,0.090     	,>,  	0.15,	>
30,SI     	,14,16,6914.79,24,(2+),24 FS LT,4679.2    	,3,1008,M1+E2     	,-0.63   	,     14	0.001286           	23,0.0024    	,>,  	0.16,	>
30,SI     	,14,16,7223.2,4,4+,14 FS LT,1991.5    	,4,307,M1+E2     	,+0.6    	,      2	0.000268           	10,0.017     	,>,  	4.5,	>
30,SI     	,14,16,7223.2,4,4+,14 FS LT,1943.0    	,11,1007,M1+E2     	,+0.3    	,      4	0.000235           	17,0.074     	,>,  	,	
31,SI     	,14,17,1694.91,4,5/2+,0.57 PS 15,1694.87   	,5,1005,(M1+E2)   	,+4.4    	,      7	                   	,0.00039   	,,16	12,	4
31,SI     	,14,17,2316.93,10,3/2+,38 FS 15,2316.80   	,14,1008,(M1+E2)   	,2.7     	,LT     	                   	,0.0024    	,>,  	34,	<
31,SI     	,14,17,2788.03,7,(5/2+),14 FS 14,2787.9    	,12,1006,(M1+E2)   	,+0.20   	,      5	                   	,0.06      	,, 6	1.3,	+15-13
32,SI     	,14,18,4230.8,8,2+,0.26 PS 9,2289.4    	,8,615,M1+E2     	,-0.8    	,      4	                   	,0.0016    	,, 9	0.8,	6
29,P      	,15,14,1383.55,7,3/2+,151 FS 12,1383.48   	,,100,(M1+E2)   	,-0.14   	,      1	                   	,0.054     	,, 7	2.7,	5
29,P      	,15,14,1953.91,17,5/2+,268 FS 21,570.35    	,,8.711,(M1+E2)   	,+0.04   	,      6	                   	,0.035     	,, 6	0.8,	+26-8
29,P      	,15,14,2422.7,3,3/2+,19 FS 3,2422.5    	,,1004,(M1+E2)   	,+0.22   	,      2	                   	,0.065     	,,11	2.6,	7
29,P      	,15,14,2422.7,3,3/2+,19 FS 3,1039.1    	,,14.324,(M1+E2)   	,-0.15   	,     14	                   	,0.12      	,, 3	12,	+23-12
29,P      	,15,14,3105.9,3,5/2+,23 FS 10,1722.2    	,,1003,(M1+E2)   	,-0.25   	,      2	                   	,0.13      	,, 6	13,	7
29,P      	,15,14,4080.5,3,7/2+,11 FS 1,2126.3    	,,1006,(M1+E2)   	,-0.12   	,      2	                   	,0.106     	,,13	1.6,	6
30,P      	,15,15,1454.23,2,2+,4.5 PS 5,1454.23   	,2,1008,M1+E2     	,-0.22   	,      2	                   	,0.00145   	,,17	0.15,	4
30,P      	,15,15,2723.72,7,2+,112 FS 10,2723.72   	,7,1009,M1+E2     	,+4.8    	,      4	                   	,0.00039   	,, 8	5.7,	6
30,P      	,15,15,3019.2,1,1+,2 FS 1,2342.2    	,1,100,M1        	,        	,       	                   	,0.9       	,, 5	,	
31,P      	,15,16,1266.13,12,3/2+,0.523 PS 18,1266.1    	,1,100,M1+E2     	,+0.28   	,      2	                   	,0.0192    	,, 7	4.2,	6
31,P      	,15,16,3134.3,4,1/2+,7.2 FS 6,3134.3    	,,1003,M1        	,        	,       	                   	,0.097     	,, 8	,	
31,P      	,15,16,3295,2,5/2+,88 FS 10,2028.8    	,2,1003,M1+E2     	,+0.44   	,      2	                   	,0.0196    	,,23	4.1,	6
31,P      	,15,16,3295,2,5/2+,88 FS 10,1061.6    	,2,27.312,M1+E2     	,+0.41   	,      6	                   	,0.038     	,, 5	25,	7
31,P      	,15,16,3414.6,3,7/2+,219 FS 17,1181.0    	,2,2.73,M1+E2     	,-0.35   	,      7	                   	,0.00142   	,,21	0.56,	22
31,P      	,15,16,3506.1,6,3/2+,8.8 FS 13,3506.1    	,,1004,M1+E2     	,+0.40   	,      3	                   	,0.028     	,, 5	1.6,	4
31,P      	,15,16,4190.9,10,5/2+,4.9 FS 21,2924.7    	,6,1003,M1+E2     	,-0.12   	,      5	                   	,0.13      	,, 6	1.0,	10
31,P      	,15,16,4260.4,10,3/2+,10.4 FS 35,4260.4    	,,10020,M1+E2     	,+0.40   	,      6	                   	,0.017     	,, 6	0.7,	3
31,P      	,15,16,4260.4,10,3/2+,10.4 FS 35,2994.1    	,,34.82,M1+E2     	,+0.25   	,      5	                   	,0.019     	,, 7	0.6,	3
31,P      	,15,16,4592.5,10,3/2+,12 FS 4,3326.1    	,,1004,M1+E2     	,-0.8    	,      4	                   	,0.017     	,, 9	4,	3
31,P      	,15,16,4634.2,8,7/2+,68 FS 10,2399.7    	,5,723,M1+E2     	,+0.45   	,      6	                   	,0.0049    	,, 8	0.76,	21
31,P      	,15,16,4634.2,8,7/2+,68 FS 10,1339.6    	,3,975,M1+E2     	,+0.38   	,      4	                   	,0.040     	,, 7	14,	4
31,P      	,15,16,4634.2,8,7/2+,68 FS 10,1219.4    	,1,1003,M1+E2     	,+0.33   	,      6	                   	,0.056     	,, 9	18,	7
31,P      	,15,16,5116,15,5/2+,10.4 FS 35,3849.6    	,,1006,M1+E2     	,+0.30   	,      6	                   	,0.016     	,, 6	0.43,	22
31,P      	,15,16,5116,15,5/2+,10.4 FS 35,2882.0    	,,504,M1+E2     	,+0.65   	,     55	                   	,0.015     	,, 9	3,	+4-3
31,P      	,15,16,5530,15,"(5/2,7/2)+",11 FS 5,3296.0    	,,8614,M1+E2     	,+0.12   	,      5	                   	,0.016     	,, 8	0.09,	7
31,P      	,15,16,5530,15,"(5/2,7/2)+",11 FS 5,2115.3    	,,10014,M1+E2     	,+1.0    	,      5	                   	,0.036     	,,25	35,	25
31,P      	,15,16,5530,15,"(5/2,7/2)+",11 FS 5,3296.0    	,,8614,M1+E2     	,+0.12   	,      5	                   	,0.016     	,, 8	0.09,	7
31,P      	,15,16,5530,15,"(5/2,7/2)+",11 FS 5,2115.3    	,,10014,M1+E2     	,+1.0    	,      5	                   	,0.036     	,,25	35,	25
31,P      	,15,16,5891.9,20,9/2+,23 FS 6,2477.3    	,6,93,M1+E2     	,+0.23   	,      6	                   	,0.0044    	,,19	0.17,	12
31,P      	,15,16,6046.4,26,7/2+,22 FS 10,3812.3    	,,4212,M1+E2     	,+1.2    	,      6	                   	,0.0013    	,,11	0.6,	4
31,P      	,15,16,6078.1,18,9/2+,22 FS 10,1444.2    	,3,3010,M1+E2     	,+0.13   	,      8	                   	,0.06      	,, 4	2.2,	+30-22
31,P      	,15,16,6931.4,20,5/2+,28 FS LT,4697.2    	,,1005,M1+E2     	,-1.3    	,      3	                   	,0.0016    	,>,  	0.64,	>
31,P      	,15,16,7117.7,10,9/2+,17 FS LE,3703.0    	,,100,M1+E2     	,-0.18   	,      2	                   	,0.025     	,>,  	0.20,	>
32,P      	,15,17,78.06,2,2+,278 PS 9,78.05     	,2,100,(M1)      	,        	,       	0.00907            	,0.165     	,, 6	,	
32,P      	,15,17,512.7,3,0+,1.83 PS 8,512.69    	,3,100,M1        	,        	,       	                   	,0.088     	,, 4	,	
32,P      	,15,17,1149.39,3,1+,183 FS 12,1071.31   	,4,863,M1+E2     	,+0.14   	,      7	                   	,0.041     	,, 4	3,	3
32,P      	,15,17,1149.39,3,1+,183 FS 12,636.68    	,5,1004,M1        	,        	,       	                   	,0.232     	,,19	,	
32,P      	,15,17,1755,10,3+,430 FS 28,1676.89   	,11,1006,M1+E2     	,-0.79   	,      8	                   	,0.0064    	,, 7	6.0,	9
32,P      	,15,17,1755,10,3+,430 FS 28,432.15    	,11,2.0911,M1+E2     	,-0.12   	,     10	                   	,0.0125    	,,11	4,	+7-4
32,P      	,15,17,2177.2,2,3+,53 FS 10,2099.0    	,3,10010,M1+E2     	,+0.14   	,      3	                   	,0.039     	,, 8	0.7,	4
32,P      	,15,17,2217.79,11,2+,166 FS 17,2217.70   	,12,1004,M1+E2     	,-0.5    	,      2	                   	,0.0048    	,,10	1.0,	7
32,P      	,15,17,2217.79,11,2+,166 FS 17,894.93    	,12,5711,M1+E2     	,-0.3    	,       	                   	,0.048     	,,11	23,	6
32,P      	,15,17,2229.7,6,1+,35 FS LT,906.84    	,7,2.16,(M1)      	,        	,       	                   	,0.016     	,>,  	,	
32,P      	,15,17,2657.53,9,2+,8.3 FS 28,2657.41   	,10,1006,M1+E2     	,+0.17   	,      3	                   	,0.09      	,, 4	1.6,	8
32,P      	,15,17,2657.53,9,2+,8.3 FS 28,902.51    	,14,103,(M1)      	,        	,       	                   	,0.24      	,,11	,	
32,P      	,15,17,2740.36,6,1+,14 FS 5,2227.57   	,7,10015,M1        	,        	,       	                   	,0.09      	,, 4	,	
32,P      	,15,17,3004.6,8,3+,60 FS 3,827.3     	,9,4.74,M1+E2     	,-0.11   	,     16	                   	,0.025     	,, 3	1.9,	+55-19
32,P      	,15,17,3004.6,8,3+,60 FS 3,1681.7    	,9,5.26,M1+E2     	,-1.7    	,      8	                   	,0.0009    	,, 7	3.8,	11
32,P      	,15,17,3149.3,3,4+,345 FS 25,1393.9    	,14,22.611,M1+E2     	,-4.8    	,     12	                   	,0.00013   	,, 7	6.6,	6
32,P      	,15,17,3149.3,3,4+,345 FS 25,971.7     	,14,345,M1+E2     	,-0.11   	,      4	                   	,0.0138    	,,11	0.8,	6
32,P      	,15,17,3797.3,4,(3+),49 FS 26,3717.8    	,7,28.216,M1+E2     	,+0.6    	,      5	                   	,0.0014    	,,10	0.16,	+21-16
32,P      	,15,17,4743.3,4,5+,,1594.2    	,14,1003,M1+E2     	,-0.12   	,      4	                   	,0.025     	,, 8	,	
32,P      	,15,17,5072.44,6,0+,104 FS 34,3922.79   	,7,10010,M1        	,        	,       	                   	,0.0030    	,,10	,	
32,P      	,15,17,5072.44,6,0+,104 FS 34,2842.60   	,9,116,M1        	,        	,       	                   	,0.0009    	,, 3	,	
33,P      	,15,18,1431.7,2,3/2+,0.43 PS 7,1431.7    	,2,100,M1+E2     	,-0.62   	,     15	                   	,0.013     	,, 3	10,	4
33,P      	,15,18,2538.6,3,3/2+,35 FS 7,691.0     	,4,8.212,[M1]      	,        	,       	                   	,0.13      	,, 6	,	
33,P      	,15,18,2538.6,3,3/2+,35 FS 7,2538.5    	,5,10035,(M1+E2)   	,+0.16   	,      4	                   	,0.032     	,,16	0.5,	4
33,P      	,15,18,2538.6,3,3/2+,35 FS 7,1106.8    	,3,9.412,[M1]      	,        	,       	                   	,0.037     	,,15	,	
33,P      	,15,18,3276.1,4,3/2+,0.14 PS 3,1843.9    	,,       10LT,[M1]      	,        	,       	                   	,0.0006    	,, 6	,	
33,P      	,15,18,3490.6,3,5/2+,58 FS 12,2058.8    	,4,74.925,(M1+E2)   	,-0.17   	,     10	                   	,0.017     	,, 4	0.5,	+6-4
33,P      	,15,18,4048.4,5,5/2+,62 FS 21,2616.5    	,8,1005,M1+E2     	,+0.19   	,      4	                   	,0.014     	,, 5	0.29,	16
33,P      	,15,18,4048.4,5,5/2+,62 FS 21,1509.6    	,6,145,[M1]      	,        	,       	                   	,0.010     	,, 6	,	
33,P      	,15,18,4048.4,5,5/2+,62 FS 21,772.4     	,,94,[M1]      	,        	,       	                   	,0.05      	,, 3	,	
33,P      	,15,18,5050,7,5/2+,62 FS LT,3617.2    	,,248,[M1]      	,        	,       	                   	,0.00076   	,>,  	,	
33,P      	,15,18,5050,7,5/2+,62 FS LT,2511.1    	,,104,[M1]      	,        	,       	                   	,0.00095   	,>,  	,	
34,P      	,15,19,1607.77,20,1+,0.52 PS +45-14,1607.7    	,5,554,M1+E2     	,-0.13   	,      6	                   	,0.0036    	,+10-31,  	0.09,	9
34,P      	,15,19,1607.77,20,1+,0.52 PS +45-14,1178.63   	,19,1003,(M1+E2)   	,+1.0    	,      6	                   	,0.008     	,+6-8,  	24,	+16-24
31,S      	,16,15,1248.87,9,3/2+,0.50 PS 12,1248.86   	,10,100,M1+E2     	,+0.35   	,      2	                   	,0.020     	,, 6	7.0,	20
32,S      	,16,16,4695.3,4,1+,286 FS 74,4694.0    	,25,63.917,[M1]      	,        	,       	                   	,0.00029   	,, 8	,	
32,S      	,16,16,7115.3,10,2+,1.73 FS 35,4884.2    	,,10024,M1+E2     	,-0.38   	,      3	                   	,0.079     	,,17	2.0,	5
33,S      	,16,17,840.982,12,1/2+,1.15 PS 12,840.974   	,14,100,M1+E2     	,+0.18   	,      5	                   	,0.031     	,, 4	6,	4
33,S      	,16,17,1967.19,3,5/2+,94 FS 14,1967.20   	,6,10011,M1+E2     	,-0.60   	,     12	                   	,0.021     	,, 4	8,	3
33,S      	,16,17,2313.399,14,3/2+,109 FS 17,1472.411  	,13,1003,M1+E2     	,-0.12   	,     10	                   	,0.044     	,, 8	1.2,	+20-12
33,S      	,16,17,2313.399,14,3/2+,109 FS 17,346.19    	,14,1.63,(M1)      	,        	,       	                   	,0.055     	,,14	,	
33,S      	,16,17,2313.399,14,3/2+,109 FS 17,2313.34   	,7,403,M1+E2     	,-0.28   	,      7	                   	,0.0043    	,, 8	0.26,	13
33,S      	,16,17,2867.626,20,5/2+,10.8 FS 35,2867.47   	,4,1002,M1+E2     	,+0.12   	,      4	                   	,0.08      	,, 3	0.6,	5
33,S      	,16,17,3831.6,3,5/2+,30 FS 8,3831.9    	,9,1007,(M1+E2)   	,+0.38   	,      4	                   	,0.0061    	,,18	0.25,	9
33,S      	,16,17,3831.6,3,5/2+,30 FS 8,862.4     	,,197,[M1]      	,        	,       	                   	,0.12      	,, 6	,	
33,S      	,16,17,3934.73,6,3/2+,24 FS 7,3093.7    	,3,273,[M1+E2]   	,        	,       	                   	,0.0024    	,, 8	1.0,	4
33,S      	,16,17,3934.73,6,3/2+,24 FS 7,3935.0    	,5,1005,(M1+E2)   	,+0.21   	,      9	                   	,0.0082    	,,25	0.10,	9
33,S      	,16,17,4048.56,8,9/2+,211 FS 53,1079.2    	,1,11.511,(M1+E2)   	,-0.33   	,      4	                   	,0.0068    	,,19	2.6,	10
33,S      	,16,17,4095.09,17,7/2+,31 FS 8,2127.7    	,2,10011,(M1+E2)   	,+0.19   	,      2	                   	,0.046     	,,14	1.5,	6
34,S      	,16,18,3304.212,13,2+,136 FS 7,1176.650  	,20,1009,M1+E2     	,-0.16   	,      2	                   	,0.052     	,, 3	3.8,	10
34,S      	,16,18,4074.667,14,1+,17 FS LT,1947.060  	,20,9410,M1+E2     	,+1.3    	,+9-32  	                   	,0.0039    	,>,  	26,	>
34,S      	,16,18,4114.813,23,2+,73 FS 6,1987.19   	,3,768,M1+E2     	,-0.40   	,      5	                   	,0.0143    	,,23	2.3,	6
34,S      	,16,18,4876.839,24,3+,40 FS 15,2749.24   	,5,10010,M1+E2     	,-0.11   	,      3	                   	,0.014     	,, 6	0.09,	6
34,S      	,16,18,4876.839,24,3+,40 FS 15,1572.57   	,5,809,M1+E2     	,-0.09   	,      4	                   	,0.060     	,,24	0.8,	8
34,S      	,16,18,5380.99,4,1+,49 FS LT,3253.21   	,6,10011,M1+E2     	,-1.1    	,     10	                   	,1.2E-5    	,>,  	0.22,	>
34,S      	,16,18,6251.22,19,4+,0.42 PS +49-21,1374.34   	,20,4610,M1+E2     	,-3.7    	,+7-26  	                   	,0.0004    	,+3-4,  	12,	+8-12
36,S      	,16,20,4523,6,1+,0.017 PS 8,4522.2    	,15,10013,M1        	,        	,       	                   	,0.010     	,, 5	,	
33,CL     	,17,16,810.55,16,1/2+,1.2 PS 2,810.55    	,16,100,[M1]      	,        	,       	                   	,0.034     	,, 6	,	
33,CL     	,17,16,1986.3,3,5/2+,55 FS 11,1986.5    	,4,100,M1+E2     	,+0.51   	,      6	                   	,0.040     	,, 9	11,	3
33,CL     	,17,16,2352,3,3/2+,70 FS 20,2351.9    	,3,353,M1+E2     	,-1.3    	,      4	                   	,0.0023    	,,12	2.9,	11
33,CL     	,17,16,2352,3,3/2+,70 FS 20,1541.5    	,5,1003,M1+E2     	,+0.41   	,      8	                   	,0.054     	,,16	16,	7
33,CL     	,17,16,2839,3,5/2+,3 FS 1,2839.0    	,3,1004,M1+E2     	,-0.10   	,      2	                   	,0.31      	,,11	1.6,	9
33,CL     	,17,16,2975.4,3,7/2+,60 FS 14,989.1     	,,185,M1+E2     	,+0.31   	,      3	                   	,0.053     	,,20	21,	9
33,CL     	,17,16,3816.3,3,5/2+,,977.3     	,,285,M1+E2     	,+0.47   	,     16	                   	,0.046     	,>,  	42,	>
33,CL     	,17,16,3816.3,3,5/2+,,3816.1    	,3,305,M1+E2     	,-2.5    	,      3	                   	,1.4E-4    	,>,  	0.23,	>
33,CL     	,17,16,3816.3,3,5/2+,,1829.9    	,,497,M1+E2     	,-0.22   	,      3	                   	,0.014     	,>,  	0.9,	>
33,CL     	,17,16,3816.3,3,5/2+,,1464.3    	,,1007,M1+E2     	,+0.17   	,      4	                   	,0.6       	,>,  	3.3,	>
33,CL     	,17,16,3971.2,2,3/2+,5 KEV 3,3970.9    	,2,1006,M1+E2     	,+0.8    	,      5	                   	,3.3E-3    	,,18	1,	<
33,CL     	,17,16,4112.27,20,3/2+,3 KEV LT,3280      	,50,10010,M1+E2     	,+0.10   	,      5	                   	,3.6E-2    	,,  	0.3,	<
34,CL     	,17,17,461,4,1+,5.2 PS 4,461.00    	,4,100,M1        	,        	,       	                   	,0.043     	,, 4	,	
34,CL     	,17,17,665.56,4,1+,9.2 PS 4,665.55    	,5,1006,M1        	,        	,       	                   	,0.0068    	,, 8	,	
34,CL     	,17,17,1230.26,4,2+,13.6 PS 9,769.25    	,7,1008,M1+E2     	,+1.2    	,      5	                   	,0.0006    	,, 3	5.3,	19
34,CL     	,17,17,1230.26,4,2+,13.6 PS 9,564.68    	,6,745,M1+E2     	,+0.32   	,     13	                   	,0.0023    	,, 3	2.9,	22
34,CL     	,17,17,1230.26,4,2+,13.6 PS 9,1083.88   	,10,845,M1+E2     	,+1.6    	,     12	                   	,0.00011   	,+13-11,  	1.0,	5
34,CL     	,17,17,1887.14,5,2+,1.2 PS 5,1740.74   	,10,625,M1+E2     	,-1.2    	,      8	                   	,0.0005    	,, 5	1.0,	7
34,CL     	,17,17,1887.14,5,2+,1.2 PS 5,1426.10   	,10,1005,M1+E2     	,-1.8    	,      2	                   	,0.0009    	,, 4	5.4,	23
34,CL     	,17,17,2376.5,4,4+,150 FS 17,2230.1    	,4,1008,(M1+E2)   	,+6.0    	,     18	                   	,0.00022   	,,15	6.3,	16
34,CL     	,17,17,2580.4,2,1+,33 FS 8,2580.3    	,,100,M1        	,        	,       	                   	,0.038     	,,10	,	
35,CL     	,17,18,1219.29,11,1/2+,126 FS 14,1219.3    	,2,100,M1+E2     	,+0.106  	,      7	                   	,0.095     	,,11	2.7,	5
35,CL     	,17,18,1763.04,7,5/2+,0.39 PS 4,1763.13   	,10,100,M1+E2     	,-2.93   	,     10	                   	,0.00107   	,,13	11.2,	12
35,CL     	,17,18,2645.74,8,7/2+,159 FS 21,882.84    	,10,9.911,M1+E2     	,-0.23   	,      5	                   	,0.017     	,, 3	4.4,	20
35,CL     	,17,18,2693.75,8,3/2+,33 FS 6,930.9     	,2,16.313,M1+E2     	,-0.09   	,      3	                   	,0.106     	,,22	4,	3
35,CL     	,17,18,2693.75,8,3/2+,33 FS 6,2693.6    	,1,10016,M1+E2     	,-0.25   	,      2	                   	,0.026     	,, 5	0.83,	20
35,CL     	,17,18,2693.75,8,3/2+,33 FS 6,1474.8    	,3,9.51,M1+E2     	,+0.63   	,     21	                   	,0.011     	,, 4	8,	4
35,CL     	,17,18,3002.3,13,5/2+,21 FS 4,3002.4    	,4,1002,M1+E2     	,-0.08   	,      2	                   	,0.035     	,, 7	0.09,	5
35,CL     	,17,18,3918.49,17,3/2+,4.9 FS 14,3918.4    	,6,10012,M1+E2     	,-0.21   	,      2	                   	,0.058     	,,17	0.63,	22
35,CL     	,17,18,3943.82,25,9/2+,205 FS 35,1297.4    	,15,822,M1+E2     	,-3.0    	,      1	                   	,0.00034   	,,12	6.9,	23
35,CL     	,17,18,3967.5,23,1/2+,10 FS 3,2748.5    	,6,1006,[M1]      	,        	,       	                   	,0.079     	,,25	,	
35,CL     	,17,18,4111.98,24,7/2+,49 FS 11,2348.8    	,,906,M1+E2     	,-0.16   	,      2	                   	,0.015     	,, 4	0.27,	10
36,CL     	,17,19,788.4328,4,3+,14.7 PS 10,788.4236  	,4,1005,M1+E2     	,+1.1    	,      4	8.8E-5             	10,0.0014    	,, 6	10,	4
36,CL     	,17,19,1164.8799,9,1+,6.9 PS 4,1164.860  	,5,1005,M1+E2     	,-0.32   	,      6	3.49E-5            	6,0.00183   	,,13	0.50,	18
36,CL     	,17,19,2492.3035,22,2+,40 FS 9,1327.396  	,4,1006,M1+E2     	,-0.10   	,      7	4.91E-5            	8,0.16      	,, 4	3,	+5-3
36,CL     	,17,19,2492.3035,22,2+,40 FS 9,532.904   	,4,10.28,M1+E2     	,-2.7    	,LT     	0.000333           	13,0.024     	,>,  	3.7E+3,	<
36,CL     	,17,19,2676.44,7,"1+,(2+)",21 FS 3,2676.323  	,17,1003,M1+E2     	,-0.05   	,      9	0.000540           	8,0.050     	,, 8	0.06,	+23-6
36,CL     	,17,19,2676.44,7,"1+,(2+)",21 FS 3,2676.323  	,17,1003,M1+E2     	,-0.05   	,      9	0.000540           	8,0.050     	,, 8	0.06,	+23-6
37,CL     	,17,20,1726.58,4,1/2+,0.13 PS 2,1726.4    	,2,100,M1+E2     	,-0.25   	,      2	                   	,0.031     	,, 5	2.3,	5
37,CL     	,17,20,3086.12,7,5/2+,37 FS 8,3086.2    	,2,100,M1+E2     	,+0.74   	,      2	                   	,0.013     	,, 3	2.6,	6
37,CL     	,17,20,3707.79,9,3/2+,44 FS 14,1981.2    	,,234,M1+E2     	,+1.1    	,      4	                   	,0.005     	,, 3	5,	3
37,CL     	,17,20,4016.27,9,3/2+,0.11 PS 4,2289.6    	,,404,M1+E2     	,-0.20   	,     12	                   	,0.0030    	,,12	0.08,	+10-8
